Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Visibilities kernel bw9 [1],,,,,,,,,,255.34869066148931,1151.9885046375189,1151.9884760713521,1180.6618713234516,1148.830262625096,4977.105614928556,1326.1316929138618,140.11983963318224,5162.402437842302,944.6678654075595,1754.7670049984931,1754.7670645787216,1202.2922832808904,8212.16388803205,8494.169260634422,3009.0497598174616,518.3839246230167,8494.373827930493,4318.567102123931,14113.303484955708,2338.499074641323,11274.581506994833,10327.192727632588,11393.846576022124,6384.064243570653,2369.949170617371,12856.527921888977,17371.42647456908,14259.677883425327,2342.5707447953873,11285.194421442822,10355.597285325806,11401.931653036787,17293.198541928276,9533.849194612962,13470.636903441964,2707.7437642365594,10595.219024460162,3897.2637778731455,12289.845565405984,11406.913309827934,12389.434919682913,3851.420106924157,1485.9677603020393,13149.647728317703
Visibilities kernel bw10 [1],,,,,,,,,,223.07906733395956,1674.8097170276862,1674.8096715039508,1313.2269689663797,1273.084020286537,4655.017883304138,1168.825323568389,122.41202274078118,4187.3118393628665,827.8645046201708,1915.7974410527943,1915.7975125338642,1347.7019475854881,8316.485749690179,8316.485749690179,2656.330934239792,454.2868121982799,8454.544258525599,3800.2568653299245,14416.553428399611,3872.0603785147705,12510.781257138411,11337.060197734847,12661.280296796187,5659.500926773783,2085.487557093841,14509.221833936266,15337.975396273583,15047.643085051195,3883.78771113231,12538.804123701504,11382.706441653589,12686.683409080772,15391.939645034214,8417.678341989576,15674.67522014574,2383.35070698149,9486.001272357506,4355.945820638136,13782.101789159457,12653.473827740032,13911.763867827158,3415.442116269268,1307.9308401702972,14904.657948881546
Visibilities kernel bw11 [1],,,,,,,,,,198.59760288862444,1793.4574233200938,1793.4573711700377,1840.157416865788,1840.157416865788,3799.109179706817,1048.4612754042548,108.97796487939814,3418.6321889229775,739.064379661533,3080.393052168204,3080.393175366578,1969.2238368261455,8027.429992481164,8027.429992481164,2385.597776133599,405.5570788443858,8252.373437486125,3404.699996511177,13048.446062096371,4187.981869602771,13590.997337323335,12206.532252027753,13771.258479225016,5098.081311681836,1868.4002099436866,15818.145568991828,13776.587358662868,15720.877084999349,4205.161965579416,13636.43704474787,12268.409349501282,13814.143121956735,13904.608226453609,7560.654780499664,17720.986475762926,2135.6961123565966,8198.588213108529,4761.485250575098,15109.173734783484,13742.19762358857,15268.735340675175,3077.3643040343677,1172.0131130127063,16328.629801923304
Oversampling used pred0 [1],31.22786864398214,2.0389761066630427,2.038976105645908,1.891205988806469,3.1129527404507513,3.1129527419177307,53.15078038174531,18.649408004859716,2.823239852515087,42.42396349937101,4.525409199524503,4.525409196938334,3.9436750653761194,3.941832894056951,15.213893250024086,63.78544273780377,41.90933353478343,15.870736579100338,62.232464526372034,5.080852298504723,5.080852302363162,3.8190696142629577,14.315959166479232,14.3293026045951,63.99880230845358,62.39105055588464,15.049968149229699,63.999632751319716,53.45940938677084,6.5635488529003325,14.47760111308041,14.456017368440833,14.479952354979702,63.99999666688876,63.999733584602275,15.1190414814155,63.99999999999972,53.322930926390136,6.419537219839242,14.371160151967182,14.350573036481329,14.37340397353293,63.99999999999999,63.999999999999886,15.006509197665018,63.96518161217608,55.03558892897281,6.758752094543915,14.97793315344763,14.961741375715548,14.979550202089918,63.99686356501693,63.96589244809343,15.67412859599444
Oversampling used pred1 [1],21.04093046218938,3.990137049164723,3.990137043671538,3.7077136317908597,6.02673956933431,6.026739577065044,58.011943208759305,15.866647996855697,7.5293630910853935,45.039805542924334,7.8095562137526,7.809556205873335,5.998846730764129,5.993818917328021,29.102601852812832,63.96988618479191,44.75691949590026,30.277865889387556,62.97298264528854,9.800913443891496,9.800913456859575,5.627602247303507,28.080109248598696,28.11985533224464,63.999983340161485,63.07196025652028,29.56430473275099,63.99998724101695,63.0495558307763,13.778068757751598,28.475628308203163,28.410809812300215,28.48269986940449,63.99999999840818,63.999991309129065,29.680023457585648,64.0,63.02488984991273,13.67834213542033,27.57707680555707,27.51597896199023,27.583745722038977,64.0,64.0,29.497327976202996,63.99506235812369,63.1528997882149,14.272877854063118,28.817467944402836,28.769796081243463,28.82223392258684,63.999966973150705,63.996099954613136,29.982575109437384
Oversampling used pred2 [1],19.90193647946292,7.6266333777673125,7.626633349732877,7.116004511284999,16.929706464131996,16.929706517122277,63.12784695792816,18.236370205551026,25.054575486463243,46.890652002503145,13.134075842819186,13.13407582369026,10.191324913487684,10.178761757662961,42.00353023127946,63.99387347728162,46.84053026792553,43.47895106301742,63.26233844652262,16.18908868307792,16.18908871359205,9.56237876785886,40.81311938589258,40.881132426639894,63.99999956692531,63.403963549092005,42.72653476278005,63.999998553141396,63.92877723221189,22.321011772062164,41.42818417481891,41.3168350837538,41.44034348070825,63.99999999999867,63.99999937953654,42.860821471506995,64.0,63.92632461628454,22.177832098195573,41.237427507366974,41.13045112579957,41.249114375959735,64.0,64.0,42.660979725632046,63.99877709054653,63.9792080056933,23.215819313399592,41.838546741107706,41.75706537974,41.846698118822246,63.99999952391394,63.99927499645436,43.191068687609274
Oversampling used pred3 [1],25.470706671636236,23.284568496636368,23.284568306843745,22.04777546697185,47.49555965588377,47.49555965588377,63.941590700315174,20.740095718918496,54.18083524989597,49.52772282007338,25.499685772541696,25.49968571551318,20.854411029957923,20.81308122990292,57.87964085222233,63.999522701575266,49.93371053978717,58.97489291709654,63.54515940887008,30.996038850990907,30.996038936252624,19.415977808025588,57.08930764050298,57.16691161538411,63.999999998987036,63.71934915075111,58.611011110711864,63.999999927760896,63.999984836213926,39.34798763212426,57.7242526519326,57.59953971766106,57.73784386127913,64.0,63.99999999038468,58.70429004548649,64.0,63.99998417742046,39.169480325561125,57.61100626803217,57.489931733017315,57.624208510122735,64.0,64.0,58.59244718416613,63.99982183536068,63.999992445266265,40.96563168119942,58.01412503833215,57.92479118660036,58.02304767159046,63.99999999977811,63.999949076536346,58.88881847865509
Oversampling used pred4 [1],37.50531438039534,51.17081248788799,51.17081248788799,50.23299093668744,63.74604115292179,63.74604115292179,63.99709660774092,23.345368250741068,63.727446591543064,51.40771149045538,47.514382721038444,47.514382591191506,42.5391880170201,42.421828218066224,63.78985472372495,63.999982555593164,53.253819170257934,63.94521543243763,63.8202629763653,52.60758241775662,52.60758257102664,40.80350233754478,63.858143980665496,63.866372035840165,63.99999999999969,63.898677629411054,63.94265210633405,63.99999999946148,63.99999999999999,59.327554126550005,63.914137874651324,63.90379235765534,63.91522304433723,64.0,63.999999999955484,63.94793492590887,64.0,63.99999999999999,59.24684266431562,63.91017988142506,63.899848315419,63.91126610489088,64.0,64.0,63.9449514925343,63.99999211694614,64.0,59.694532286184106,63.92817678341576,63.9216023598044,63.92881437657849,64.0,63.99999833621159,63.95297883854382
Oversampling used pred5 [1],,,,,,,,,,55.33382227596687,59.79585288426879,59.79585278341628,56.38914864526078,56.261165957192716,63.99936965325943,63.99999321436706,53.71986043927443,63.99986266394561,63.84931247146364,61.78784992931253,61.78785001762105,54.87941029181605,63.99853700587851,63.99874490529552,63.99999999999998,63.916490805661766,63.99991512016108,63.999999999840746,64.0,63.61958948160414,63.99960997171401,63.99946304433459,63.99962388315434,64.0,63.9999999999883,63.99994229642366,64.0,64.0,63.60885826639679,63.99958170869552,63.99943139945621,63.99959603272604,64.0,64.0,63.9999367443058,63.999996430473175,64.0,63.69188138521689,63.99974227289806,63.99966830644279,63.99974888930053,64.0,63.999999301999864,63.99995285828857
Oversampling used pred6 [1],,,,,,,,,,57.79276064961864,63.81206251982315,63.81206250406819,63.527858928321336,63.49514109745098,63.99999999904109,63.99999833444713,54.6215579965215,63.99999999994847,63.98738336934425,63.967019825534585,63.9670198303967,63.50709699400243,63.999999999989534,63.999999999994536,64.0,63.942949403564825,63.99999999999974,64.0,64.0,63.999170424794485,63.99999999999997,63.99999999999987,63.99999999999998,64.0,63.999999999998685,63.999999999999986,64.0,64.0,63.999140150523516,63.99999999999997,63.999999999999865,63.99999999999998,64.0,64.0,63.999999999999986,63.99999999751527,64.0,63.99996203418074,63.99999999999999,63.999999999999986,63.99999999999999,64.0,63.99999982796979,63.99999999999999
Oversampling used pred7 [1],,,,,,,,,,59.84418801609371,63.99580905704072,63.995809056274936,63.99488053177949,63.993871490247216,64.0,63.9999999999466,60.81659738275289,64.0,63.99723228972414,63.99987750463703,63.99987750467866,63.980594518302865,64.0,64.0,64.0,63.998961034531085,64.0,64.0,64.0,63.99999996664843,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.9999999658224,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999997328,64.0,63.999999994150144,64.0,64.0,64.0,64.0,63.999999999998344,64.0
Oversampling used pred8 [1],,,,,,,,,,57.97525671778878,63.99984786615737,63.99984786611448,63.99984867581873,63.99979691110894,64.0,63.99999999817551,59.21480679154888,64.0,63.989453047730876,63.99999938650609,63.999999386506424,63.99881436470297,64.0,64.0,64.0,63.99548892732317,64.0,64.0,64.0,63.99999999999944,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999944,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999895171,64.0,63.99999999999997,64.0,64.0,64.0,64.0,63.99999999990712,64.0
Oversampling used pred9 [1],,,,,,,,,,62.85252858556377,63.999999154250915,63.99999915425053,63.99999946156633,63.99999911112213,64.0,63.99999994552436,56.95565032811962,64.0,63.99997785909328,63.999999999936236,63.999999999936236,63.99999961700541,64.0,64.0,64.0,63.981772284401394,64.0,64.0,64.0,63.99999999999999,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,64.0,63.99999999999999,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999995604426,64.0
Oversampling used pred10 [1],,,,,,,,,,62.092574744517336,63.99999999977538,63.99999999977538,63.99999993324816,63.999999874391825,64.0,63.99999935123504,54.689946367198736,64.0,63.9998606640531,63.99999999999495,63.99999999999495,63.99999996121407,64.0,64.0,64.0,63.949982773408266,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999965,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999927441934,64.0
Oversampling used pred11 [1],,,,,,,,,,61.19529843309886,63.99999999996533,63.99999999996533,63.99999999998338,63.99999999998338,64.0,63.99999568174576,52.496409652459675,64.0,63.99943583657623,64.0,64.0,63.999999999997826,64.0,64.0,64.0,63.8922535573333,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999998935,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999999999844,64.0,64.0,64.0,64.0,64.0,64.0,63.999999383000606,64.0
Oversampling used bw0 [1],31.22786864398214,2.0389761066630427,2.038976105645908,1.891205988806469,3.1129527404507513,3.1129527419177307,53.15078038174531,18.649408004859716,2.823239852515087,42.42396349937101,4.525409199524503,4.525409196938334,3.9436750653761194,3.941832894056951,15.213893250024086,63.78544273780377,41.90933353478343,15.870736579100338,62.232464526372034,5.080852298504723,5.080852302363162,3.8190696142629577,14.315959166479232,14.3293026045951,63.99880230845358,62.39105055588464,15.049968149229699,63.999632751319716,53.45940938677084,6.5635488529003325,14.47760111308041,14.456017368440833,14.479952354979702,63.99999666688876,63.999733584602275,15.1190414814155,63.99999999999972,53.322930926390136,6.419537219839242,14.371160151967182,14.350573036481329,14.37340397353293,63.99999999999999,63.999999999999886,15.006509197665018,63.96518161217608,55.03558892897281,6.758752094543915,14.97793315344763,14.961741375715548,14.979550202089918,63.99686356501693,63.96589244809343,15.67412859599444
Oversampling used bw1 [1],21.04093046218938,3.990137049164723,3.990137043671538,3.7077136317908597,6.02673956933431,6.026739577065044,58.011943208759305,15.866647996855697,7.5293630910853935,45.039805542924334,7.8095562137526,7.809556205873335,5.998846730764129,5.993818917328021,29.102601852812832,63.96988618479191,44.75691949590026,30.277865889387556,62.97298264528854,9.800913443891496,9.800913456859575,5.627602247303507,28.080109248598696,28.11985533224464,63.999983340161485,63.07196025652028,29.56430473275099,63.99998724101695,63.0495558307763,13.778068757751598,28.475628308203163,28.410809812300215,28.48269986940449,63.99999999840818,63.999991309129065,29.680023457585648,64.0,63.02488984991273,13.67834213542033,27.57707680555707,27.51597896199023,27.583745722038977,64.0,64.0,29.497327976202996,63.99506235812369,63.1528997882149,14.272877854063118,28.817467944402836,28.769796081243463,28.82223392258684,63.999966973150705,63.996099954613136,29.982575109437384
Oversampling used bw2 [1],19.90193647946292,7.6266333777673125,7.626633349732877,7.116004511284999,16.929706464131996,16.929706517122277,63.12784695792816,18.236370205551026,25.054575486463243,46.890652002503145,13.134075842819186,13.13407582369026,10.191324913487684,10.178761757662961,42.00353023127946,63.99387347728162,46.84053026792553,43.47895106301742,63.26233844652262,16.18908868307792,16.18908871359205,9.56237876785886,40.81311938589258,40.881132426639894,63.99999956692531,63.403963549092005,42.72653476278005,63.999998553141396,63.92877723221189,22.321011772062164,41.42818417481891,41.3168350837538,41.44034348070825,63.99999999999867,63.99999937953654,42.860821471506995,64.0,63.92632461628454,22.177832098195573,41.237427507366974,41.13045112579957,41.249114375959735,64.0,64.0,42.660979725632046,63.99877709054653,63.9792080056933,23.215819313399592,41.838546741107706,41.75706537974,41.846698118822246,63.99999952391394,63.99927499645436,43.191068687609274
Oversampling used bw3 [1],25.470706671636236,23.284568496636368,23.284568306843745,22.04777546697185,47.49555965588377,47.49555965588377,63.941590700315174,20.740095718918496,54.18083524989597,49.52772282007338,25.499685772541696,25.49968571551318,20.854411029957923,20.81308122990292,57.87964085222233,63.999522701575266,49.93371053978717,58.97489291709654,63.54515940887008,30.996038850990907,30.996038936252624,19.415977808025588,57.08930764050298,57.16691161538411,63.999999998987036,63.71934915075111,58.611011110711864,63.999999927760896,63.999984836213926,39.34798763212426,57.7242526519326,57.59953971766106,57.73784386127913,64.0,63.99999999038468,58.70429004548649,64.0,63.99998417742046,39.169480325561125,57.61100626803217,57.489931733017315,57.624208510122735,64.0,64.0,58.59244718416613,63.99982183536068,63.999992445266265,40.96563168119942,58.01412503833215,57.92479118660036,58.02304767159046,63.99999999977811,63.999949076536346,58.88881847865509
Oversampling used bw4 [1],37.50531438039534,51.17081248788799,51.17081248788799,50.23299093668744,63.74604115292179,63.74604115292179,63.99709660774092,23.345368250741068,63.727446591543064,51.40771149045538,47.514382721038444,47.514382591191506,42.5391880170201,42.421828218066224,63.78985472372495,63.999982555593164,53.253819170257934,63.94521543243763,63.8202629763653,52.60758241775662,52.60758257102664,40.80350233754478,63.858143980665496,63.866372035840165,63.99999999999969,63.898677629411054,63.94265210633405,63.99999999946148,63.99999999999999,59.327554126550005,63.914137874651324,63.90379235765534,63.91522304433723,64.0,63.999999999955484,63.94793492590887,64.0,63.99999999999999,59.24684266431562,63.91017988142506,63.899848315419,63.91126610489088,64.0,64.0,63.9449514925343,63.99999211694614,64.0,59.694532286184106,63.92817678341576,63.9216023598044,63.92881437657849,64.0,63.99999833621159,63.95297883854382
Oversampling used bw5 [1],,,,,,,,,,55.33382227596687,59.79585288426879,59.79585278341628,56.38914864526078,56.261165957192716,63.99936965325943,63.99999321436706,53.71986043927443,63.99986266394561,63.84931247146364,61.78784992931253,61.78785001762105,54.87941029181605,63.99853700587851,63.99874490529552,63.99999999999998,63.916490805661766,63.99991512016108,63.999999999840746,64.0,63.61958948160414,63.99960997171401,63.99946304433459,63.99962388315434,64.0,63.9999999999883,63.99994229642366,64.0,64.0,63.60885826639679,63.99958170869552,63.99943139945621,63.99959603272604,64.0,64.0,63.9999367443058,63.999996430473175,64.0,63.69188138521689,63.99974227289806,63.99966830644279,63.99974888930053,64.0,63.999999301999864,63.99995285828857
Oversampling used bw6 [1],,,,,,,,,,57.79276064961864,63.81206251982315,63.81206250406819,63.527858928321336,63.49514109745098,63.99999999904109,63.99999833444713,54.6215579965215,63.99999999994847,63.98738336934425,63.967019825534585,63.9670198303967,63.50709699400243,63.999999999989534,63.999999999994536,64.0,63.942949403564825,63.99999999999974,64.0,64.0,63.999170424794485,63.99999999999997,63.99999999999987,63.99999999999998,64.0,63.999999999998685,63.999999999999986,64.0,64.0,63.999140150523516,63.99999999999997,63.999999999999865,63.99999999999998,64.0,64.0,63.999999999999986,63.99999999751527,64.0,63.99996203418074,63.99999999999999,63.999999999999986,63.99999999999999,64.0,63.99999982796979,63.99999999999999
Oversampling used bw7 [1],,,,,,,,,,59.84418801609371,63.99580905704072,63.995809056274936,63.99488053177949,63.993871490247216,64.0,63.9999999999466,60.81659738275289,64.0,63.99723228972414,63.99987750463703,63.99987750467866,63.980594518302865,64.0,64.0,64.0,63.998961034531085,64.0,64.0,64.0,63.99999996664843,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.9999999658224,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999997328,64.0,63.999999994150144,64.0,64.0,64.0,64.0,63.999999999998344,64.0
Oversampling used bw8 [1],,,,,,,,,,57.97525671778878,63.99984786615737,63.99984786611448,63.99984867581873,63.99979691110894,64.0,63.99999999817551,59.21480679154888,64.0,63.989453047730876,63.99999938650609,63.999999386506424,63.99881436470297,64.0,64.0,64.0,63.99548892732317,64.0,64.0,64.0,63.99999999999944,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999944,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999895171,64.0,63.99999999999997,64.0,64.0,64.0,64.0,63.99999999990712,64.0
Oversampling used bw9 [1],,,,,,,,,,62.85252858556377,63.999999154250915,63.99999915425053,63.99999946156633,63.99999911112213,64.0,63.99999994552436,56.95565032811962,64.0,63.99997785909328,63.999999999936236,63.999999999936236,63.99999961700541,64.0,64.0,64.0,63.981772284401394,64.0,64.0,64.0,63.99999999999999,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,64.0,63.99999999999999,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999995604426,64.0
Oversampling used bw10 [1],,,,,,,,,,62.092574744517336,63.99999999977538,63.99999999977538,63.99999993324816,63.999999874391825,64.0,63.99999935123504,54.689946367198736,64.0,63.9998606640531,63.99999999999495,63.99999999999495,63.99999996121407,64.0,64.0,64.0,63.949982773408266,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999999965,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999927441934,64.0
Oversampling used bw11 [1],,,,,,,,,,61.19529843309886,63.99999999996533,63.99999999996533,63.99999999998338,63.99999999998338,64.0,63.99999568174576,52.496409652459675,64.0,63.99943583657623,64.0,64.0,63.999999999997826,64.0,64.0,64.0,63.8922535573333,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.99999999998935,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.999999999999844,64.0,64.0,64.0,64.0,64.0,64.0,63.999999383000606,64.0
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",931.2414905129898,603.7866629970722,603.7866629970722,559.1337152950158,931.2414905129898,931.2414905129898,1809.0904657256951,1809.0904657256951,1628.2786778496668,2511.6897145573553,1162.8485129365304,1162.8485129365304,1005.0053854489457,1005.0053854489457,2511.6897145573553,4576.81127226378,4576.81127226378,2927.246459022404,1369.9587468457216,739.9202789596652,739.9202789596652,548.1694318247697,1369.9587468457216,1369.9587468457216,2496.3359141432534,2496.3359141432534,1596.6154427183094,964.1342651844309,2602.7936212227987,624.8353800384707,964.1342651844309,964.1342651844309,964.1342651844309,1756.8443345598678,1756.8443345598678,1123.6483696216517,440.17355597011345,1188.2987327509875,285.2676338925193,440.17355597011345,440.17355597011345,440.17355597011345,802.0830392517163,802.0830392517163,512.9992577598294,1657.447518022577,4474.4830112811205,1074.1554517174807,1657.447518022577,1657.447518022577,1657.447518022577,3020.203232244655,3020.203232244655,1931.6697913193286
