Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Delta W max7 [lambda],,,,,,,,,,17239.548121820997,407.7310366412556,407.73108064672164,356.368544744713,385.2856231103482,193.05336007103855,967.5187845574656,17239.548121820997,193.05336007103855,40539.74597201835,1723.1343873163132,1723.1346395741086,1788.6171123010695,709.3787539760075,665.830850902905,4116.780653772256,40539.74597201835,453.97559849137195,183327.19305125723,4148.368874923463,19085.8347632887,7179.903742827839,9014.041748583646,6966.722497583323,48491.90015926509,183327.19305125723,2052.950017068008,408018.992087538,20322.956080058564,93606.1588876664,35208.663902209155,44198.380616824405,34163.18389954482,178463.6480208543,408018.992087538,4569.112649512844,204238.34877521536,4264.814493020565,17712.99356042345,6924.840760521908,8723.17457311857,6733.006429538524,56710.295845612854,204238.34877521536,2287.119082692706
Delta W max8 [lambda],,,,,,,,,,20687.4577461852,489.2772439695068,489.277296776066,427.6422536936556,462.3427477324178,277.99683850229553,1161.0225414689587,20687.4577461852,277.99683850229553,48647.69516642202,2067.761264779576,2067.7615674889303,2146.3405347612834,851.254504771209,798.9970210834861,4940.136784526708,48647.69516642202,653.7248618275756,219992.63166150867,4978.042649908156,22903.00171594644,8615.884491393406,10816.850098300374,8360.066997099988,58190.28019111811,219992.63166150867,2956.248024577931,489622.7905050456,24387.547296070275,112327.39066519968,42250.39668265098,53038.05674018929,40995.820679453784,214156.37762502514,489622.7905050456,6579.522215298495,245086.0185302584,5117.777391624679,21255.592272508136,8309.80891262629,10467.809487742283,8079.607715446228,68052.35501473543,245086.0185302584,3293.4514790774965
Delta W max9 [lambda],,,,,,,,,,25284.670578670797,598.0055204071749,598.0055849485251,522.6738656255791,565.0855805618439,415.2792278861451,1419.0275506842827,25284.670578670797,415.2792278861451,59458.294092293574,2527.263768063926,2527.264138042026,2623.3050980415687,1040.4221724981442,976.5519540881068,6037.944958865976,59458.294092293574,976.5519540881068,268879.88314184395,6084.274349887746,27992.55765282343,10530.525489480831,13220.594564589346,10217.859663122208,71121.45356692214,268879.88314184395,4416.1235922707365,598427.8550617225,29807.002250752557,137289.03303524404,51639.37372324009,64824.291571342466,50106.003052665736,261746.68376391963,598427.8550617225,9828.668988285406,299549.5782036492,6255.061256430163,25979.05722195439,10156.433115432132,12793.989373907234,9875.076096656501,83175.10057356552,299549.5782036492,4919.847271214532
Delta W max10 [lambda],,,,,,,,,,29881.883411156396,706.7337968448431,706.7338731209842,617.7054775575026,667.8284133912701,580.0180951467647,1677.032559899607,29881.883411156396,580.0180951467647,70268.89301816514,2986.7662713482764,2986.7667085951216,3100.2696613218536,1363.944464800744,1363.944464800744,7135.753133205245,70268.89301816514,1363.944464800744,317767.1346221792,7190.5060498673365,33082.11358970041,12445.166487568255,15624.339030878318,12075.652329144428,84052.62694272616,317767.1346221792,6167.974273502104,707232.9196183992,35226.45720543484,162250.6754052884,61028.3507638292,76610.52640249564,59216.18542587768,309336.9899028141,707232.9196183992,13727.6451158697,354013.13787703996,7392.345121235648,30702.522171400644,12003.057318237974,15120.169260072185,11670.544477866773,98297.84613239561,354013.13787703996,6871.522221778974
Delta W max11 [lambda],,,,,,,,,,34479.096243641994,815.4620732825113,815.4621612934433,772.2134402841542,772.2134402841542,772.2134402841542,1935.037569114931,34479.096243641994,772.2134402841542,81079.4919440367,3446.2687746326264,3446.2692791482173,3577.234224602139,1815.9023939654878,1815.9023939654878,8233.561307544513,81079.4919440367,1815.9023939654878,366654.38610251446,8296.737749846927,38171.6695265774,14359.807485655678,18028.083497167292,13933.444995166647,96983.80031853018,366654.38610251446,8211.800068272032,816037.984175076,40645.91216011713,187212.3177753328,70417.32780441831,88396.76123364881,68326.36779908964,356927.2960417086,816037.984175076,18276.450598051375,408476.6975504307,9148.476330770824,35425.9871208469,13849.681521043816,17446.34914623714,13466.012859077047,113420.59169122571,408476.6975504307,9148.476330770824
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],51.84058969878098,0.750989102087591,0.750989033106033,0.6931074582033017,0.9302362521312484,0.9302361995655843,2.1719274927788135,51.84058969878098,0.16675796919282154,66.08516352964814,1.2200121028656143,1.220012201767399,0.8856080779034621,0.9390426870841339,2.2138218277144492,7.445664116027902,66.08516352964814,0.24736096700338506,32.70585475230759,1.1941141449801687,1.194114276281555,0.7824547877271004,1.5472278734095084,1.4753096973766195,5.806401010747779,32.70585475230759,0.12374838575339467,10.52146767644403,2.708448626252393,0.9985368383026144,0.9194153926253872,1.0907099664781588,0.8988395334394985,3.863277702069602,10.52146767644403,0.040206558978108056,5.682673970560674,2.65162608913005,0.9784309311278742,0.9008067824379329,1.0685496631262628,0.880646030412842,3.0499784784450696,5.682673970560674,0.02178140887010416,9.906668245235307,2.4012439125884035,0.8199177999247181,0.7770876920659593,0.9241799697836152,0.7608681972948442,3.7734909648110238,9.906668245235307,0.037870482843733844
W kernel support pred1 [uv-pixels],88.10132098157902,1.2638543277199257,1.2638542115779257,1.1664036853875175,1.5656727990208437,1.5656727105027477,3.657676430670701,88.10132098157902,0.4719433070599293,90.16665144334496,1.654437529698182,1.6544376638617493,1.200842752355904,1.273318016793421,3.0028532149840146,10.108539909758152,90.16665144334496,0.4546068283389465,44.51948100598907,1.6193062925579096,1.6193064706705265,1.0609378277260495,2.0983484768681224,2.0007767295313976,7.881057884726137,44.51948100598907,0.2273957447535556,14.290327198949884,3.674159540074513,1.3540143033575638,1.246696593646366,1.4790400556509808,1.2187888666851767,5.241921849743276,14.290327198949884,0.07387268535099338,7.712971060798133,3.5970342112500653,1.3267429226911325,1.2214570999774375,1.4489808103914579,1.1941126489674108,4.137749775020644,7.712971060798133,0.04001807118720107,13.454236466708023,3.257208173801134,1.1117473669735212,1.0536587387020935,1.253158990046965,1.0316612784234078,5.120009609486677,13.454236466708023,0.06958023069500174
W kernel support pred2 [uv-pixels],150.32028673808182,2.12755223129683,2.1275520356628395,1.9634092974100785,2.6360080709341402,2.6360079217953505,6.163194545654393,150.32028673808182,1.3364428326178834,112.4976096054238,2.0537040588896773,2.0537042254775635,1.490522599833565,1.580502479081517,3.728293382114632,12.560147121796634,112.4976096054238,0.7001834252893276,55.437892928021455,2.010082606050858,2.0100828272071105,1.3168328914019298,2.60493154918316,2.4837660186505435,9.79040586513875,55.437892928021455,0.35018399199615297,17.76232861213499,4.562182217828289,1.6806913145858546,1.5474510727289958,1.8359223674106422,1.5128029677494925,6.510087382563603,17.76232861213499,0.11374755527108033,9.581438733678628,4.466371873138424,1.6468321361917522,1.5161156297086473,1.7986005081665093,1.4821671085430725,5.13811811952982,9.581438733678628,0.061616574227208426,16.721991187088065,4.044235683552328,1.3799112167169008,1.3077962336689168,1.5554743337708943,1.2804875188060567,6.358593264466183,16.721991187088065,0.10713764403280973
W kernel support pred3 [uv-pixels],257.83948650180565,3.5828798297761995,3.582879500030856,3.3062290270283268,4.44003861412298,4.44003861412298,10.39307624901199,257.83948650180565,3.788984637929831,153.87506062187435,2.785567425279268,2.785567651338494,2.0214159043459934,2.1434932899738626,5.058641683817413,17.063562601599124,153.87506062187435,1.2873121222810928,75.58836487425492,2.7263737416858804,2.726374041789254,1.7857810005855155,3.5336567593393604,3.3692062993822436,13.296138746143699,75.58836487425492,0.6436425174912901,24.144977429954615,6.191003564653187,2.279426687740213,2.0986512970611564,2.490050645827922,2.051643669110903,8.837138017714242,24.144977429954615,0.20901578489978515,13.011987690963144,6.060885943577217,2.233486884361646,2.0561379801774677,2.4394096086859274,2.0100800862558748,6.973241215914135,13.011987690963144,0.11321422670188461,22.728303927718347,5.487636196339615,1.8713537212126035,1.7735219689271136,2.109536678006515,1.7364755603234003,8.631292565257011,22.728303927718347,0.19686802934455488
W kernel support pred4 [uv-pixels],445.32610945220534,6.560950293748319,6.560950293748319,5.842695255920037,12.623953197926392,12.623953197926392,17.545049781755946,445.32610945220534,10.767336770701792,228.92053145856664,4.090597650940362,4.090597983152788,2.967809286369922,3.1471539414754632,7.432598596954095,25.121346232481667,228.92053145856664,2.7741230716750493,111.91045312272352,4.00360884580296,4.003609286817819,2.6216671171337853,5.190150520621243,4.948409473950985,19.564252761142146,111.91045312272352,1.3862460638117227,35.57903467429398,9.098496764991868,3.3468669109972793,3.0812750550028625,3.6563401438894854,3.0122160949845864,12.993765083323694,35.57903467429398,0.4499376360249123,19.145320867297563,8.907039168840209,3.279370839403403,3.0188186242980577,3.581929693401713,2.9511563056536594,10.249666506390357,19.145320867297563,0.24367288335199153,33.48571560994978,8.063647301200222,2.747366714697801,2.603660012268143,3.097267004932581,2.5492437962788896,12.690637277601347,33.48571560994978,0.4237801570386919
W kernel support pred5 [uv-pixels],,,,,,,,,,297.9469804207112,5.269597649750813,5.269598077969771,3.8225356480049024,4.053648960098546,9.579003993565657,32.42799701618017,297.9469804207112,4.602401107953138,145.10671498850104,5.1574710048884205,5.157471573340836,3.376509793536987,6.687093734107502,6.375421112878811,25.243606764902907,145.10671498850104,2.2985504263744887,45.96074309999651,11.728205343069128,4.311022873664723,3.968752546464777,4.709873083736388,3.8797596530629774,16.75599270434986,45.96074309999651,0.7456659361908637,24.70220618658938,11.481169356219842,4.2240378978460695,3.88826793754495,4.613969769520304,3.8010762717853313,13.213725633670212,24.70220618658938,0.4037683263417485,43.25065012266939,10.39305125398877,3.5384766637109752,3.353307685629235,3.9893608214675402,3.283193251090725,16.36461779679916,43.25065012266939,0.7023034471278886
W kernel support pred6 [uv-pixels],,,,,,,,,,425.684666306095,7.407014186863439,7.407014789359079,5.371489798856255,5.696523477314419,13.473912169892563,45.73228689258829,425.684666306095,9.09397381662716,206.10175968718326,7.249256896900165,7.249257696674202,4.744279808479071,9.401819214104579,8.963140785570713,35.57533477904927,206.10175968718326,4.536666640298325,64.89299885963469,16.50207574211652,6.058519083449972,5.577123720814429,6.619560508680447,5.4519662649640805,23.59164824803013,64.89299885963469,1.4702310034630404,34.81039978507779,16.15393257315051,5.936171551501838,5.463931948019499,6.484651862883198,5.341311001811591,18.59599383647218,34.81039978507779,0.7958660060011038,61.05304255870578,14.620702404579198,4.972029394812775,4.7116552537975185,5.606107236167222,4.613068779240704,23.03951716390097,61.05304255870578,1.3846834980730496
W kernel support pred7 [uv-pixels],,,,,,,,,,544.9022214669649,9.358372787604484,9.358373549436257,6.785015132245646,7.1958635208090005,17.033516289096198,57.93730554900659,544.9022214669649,14.525154584862845,262.60575567135703,9.15889776665691,9.158898777910963,5.992286369624051,11.881156906867096,11.326297894320414,45.04383171980803,262.60575567135703,7.2380628455856675,82.28986305590534,20.866953843594132,7.6534631393331605,7.044937029712823,8.362739403979955,6.886736365496468,29.847605492868674,82.28986305590534,2.343322214655387,44.07328988258617,20.426150277336898,7.498799720031988,6.9018609762394485,8.192179235215853,6.746869936068619,23.518597382848593,44.07328988258617,1.2680992060236433,77.40655973521646,18.48508426795778,6.280126609059747,5.951055095725783,7.08157313004298,5.8264621303950435,29.147927643445176,77.40655973521646,2.206893874136743
W kernel support pred8 [uv-pixels],,,,,,,,,,630.5686589971884,10.738406649257838,10.73840752389659,7.7843687516908,8.255943820730833,22.447432824304194,66.59995533985551,630.5686589971884,19.137129746472176,302.9950981036437,10.509396815480592,10.509397976452881,6.874525918438169,13.635075667344823,12.997929808905305,51.75919309263333,302.9950981036437,9.52840746593798,94.65258436525767,23.9573422552634,8.7812036107076,8.082706863525553,9.595399926516818,7.90112333050446,34.280030438295654,94.65258436525767,3.0824946282927543,50.64243528800478,23.450820309599926,8.603669117753213,7.918483307662343,9.39960439465618,7.740586409584129,27.0046278801653,50.64243528800478,1.667723114653727,89.02518203047612,21.220548600020432,7.204881417703359,6.82720545204402,8.124758389914664,6.684213421352452,33.47559086512842,89.02518203047612,2.902954168095747
W kernel support pred9 [uv-pixels],,,,,,,,,,741.0987401986339,12.494819791165728,12.494820809514316,9.055923542164663,9.604829057229148,30.432489368613744,77.65996484509454,741.0987401986339,25.936262324485085,354.87712794446253,12.2281848660056,12.228186217704307,7.996962491040853,15.867893413094647,15.12588195725446,60.32743002200305,354.87712794446253,12.899639953708286,110.45342913517943,27.894475631794894,10.216255372978921,9.403180868440357,11.164083270094393,9.191821304161067,39.93041110655653,110.45342913517943,4.168932735622993,59.02367479837852,27.304101630259947,10.009593331983806,9.212027786449138,10.936145163817692,9.004963057019308,31.446663685305467,59.02367479837852,2.2548313271641356,103.87203420624726,24.704876619363247,8.38144890774872,7.941889444203571,9.452128588975015,7.775472649121045,38.99217379546583,103.87203420624726,3.9259732449737914
W kernel support pred10 [uv-pixels],,,,,,,,,,848.3242782122347,14.175304073325652,14.175305229307622,10.272157019828851,10.89509148450009,39.22829705160302,88.2763539200322,848.3242782122347,33.42188312681315,404.9871559086001,13.872635566629915,13.872637100984335,9.070460946976254,19.47445403980467,19.47445403980467,68.5464881179642,404.9871559086001,16.604752940710846,125.63702967285093,31.665281900318654,11.589012391890618,10.666244356141277,12.664791034590253,10.426380132522533,45.3455593240978,125.63702967285093,5.361020390945257,67.06292328832127,30.994471957963285,11.354463263622788,10.449311542771147,12.406075266636996,10.214325148665505,35.701892532500345,67.06292328832127,2.8987087827318407,118.13600144022669,28.041377086253757,9.506758526472812,9.007967800790825,10.721793941849832,8.819131228832811,44.278847598065575,118.13600144022669,5.048409306677936
W kernel support pred11 [uv-pixels],,,,,,,,,,952.9151270818414,15.794399217813153,15.794400506520487,12.15747220194383,12.15747220194383,48.780680820484115,98.5352175267356,952.9151270818414,41.54727978628811,453.6779515075712,15.456982633018113,15.456984343509221,10.104377604994177,24.18810613186736,24.18810613186736,76.4839472137297,453.6779515075712,20.619586676665016,140.32371531681747,35.30174619070886,12.911394352703557,11.882879246629361,14.110534174136744,11.615537707938216,50.57083043830258,140.32371531681747,6.6506664409638026,74.82635479855996,34.5532550848209,12.649960388625916,11.641095803208831,13.82214340865086,11.379194748616301,39.80626742377153,74.82635479855996,3.5949317551364106,131.93061952868786,32.96617486525903,10.590611543755804,10.034733076371388,11.944792866572344,9.824288989286918,49.37993270945066,131.93061952868786,6.262633157716523
AW kernel support pred0 [uv-pixels],52.796275818634754,10.02815958346567,10.028159578299775,10.023991118741927,10.043173775494438,10.043173770625609,10.23314560796867,52.796275818634754,10.001390314365764,66.83748079289296,10.074146590711225,10.074146602688554,10.039138492303405,10.043993287939125,10.242119267264219,12.46747424816693,66.83748079289296,10.003058904554988,34.20048150361397,10.071043073646429,10.071043089214713,10.030565063586252,10.118987799787847,10.108241128068398,11.563489641869051,34.20048150361397,10.000765653837538,14.515553109215524,10.360294105914585,10.049730136548314,10.042177287032752,10.059306548215677,10.040314362950681,10.72030384846009,14.515553109215524,10.000080828042584,11.50185999982993,10.345584609704526,10.047752340050375,10.040490668253527,10.056927879952568,10.038701979383685,10.454777315609267,11.50185999982993,10.000023721460483,14.076294815083747,10.28425847242974,10.033556956465308,10.030147819506968,10.042614630490869,10.028904247905386,10.688275541990413,14.076294815083747,10.000071708416435
AW kernel support pred1 [uv-pixels],88.66703309967698,10.079549978133766,10.079549963570956,10.067795069293256,10.121824505176612,10.12182449148438,10.647938620760545,88.66703309967698,10.011130330041592,90.71948540697122,10.13593427068634,10.135934292585183,10.071843094284468,10.080740983275522,10.441126731858963,14.219092063390452,90.71948540697122,10.010328035003269,45.62876493005944,10.130259269590173,10.130259298061201,10.05612196993951,10.217781869387052,10.198191384820857,12.73228468824052,45.62876493005944,10.002585107097666,17.441715840279215,10.65361198495236,10.091251395822862,10.077412981346425,10.108786251881085,10.073998525985386,11.290604265441951,17.441715840279215,10.000272854959556,12.628931965321115,10.627260000437714,10.087628402301059,10.074321686698578,10.104431967650765,10.071042896265707,10.82224436984692,12.628931965321115,10.0000800719805,16.763546131475167,10.517100602707806,10.061609324952572,10.055356619118156,10.078214497337092,10.05307539976689,11.234522615635964,16.763546131475167,10.000242067495345
AW kernel support pred2 [uv-pixels],150.6525426437242,10.223819173718603,10.223819133007641,10.19092616346308,10.34159265055581,10.341592612541254,11.746700260395855,150.6525426437242,10.088908734092886,112.94118897432566,10.208707085694051,10.208707119206839,10.110472670484532,10.124129003839432,10.672402332329856,16.05482157238679,112.94118897432566,10.024482870904109,56.332583575571704,10.200021180524491,10.200021224106983,10.086329801462867,10.333715129416419,10.303838781512605,13.994714966877433,56.332583575571704,10.00612956283549,20.383824904209447,10.991519757916492,10.14025262480794,10.11902193013189,10.167133860590146,10.113781331392905,11.93236094528714,20.383824904209447,10.000646904392243,13.84933096605165,10.952099237550856,10.134695658222494,10.114277364332404,10.160460805887537,10.10924425155743,11.242786923634222,13.84933096605165,10.000189828309235,19.483967492814465,10.786836527180617,10.094758786916165,10.085153989344864,10.120251993059265,10.08164908563168,11.850388529618542,19.483967492814465,10.000573907269967
AW kernel support pred3 [uv-pixels],258.03333272954256,10.622477482895274,10.622477371674714,10.532385787615485,10.941386698901704,10.941386698901704,14.422760967227362,258.03333272954256,10.693755401469975,154.19965720255513,10.380721838137124,10.380721898797956,10.20226064450144,10.227148355439212,11.206687989109676,19.777895961367886,154.19965720255513,10.082518162650233,76.24697308328703,10.364994634796213,10.364994713734411,10.15819933758204,10.605976149927208,10.552324440036754,16.63692596475394,76.24697308328703,10.020692375795324,26.133884806760314,11.761314770787681,10.256499696523289,10.217844061574658,10.30535551151866,10.20829279287202,13.345224177365115,26.133884806760314,10.002184141393183,16.41072282593842,11.693345903592004,10.246387834872126,10.20919700042703,10.29323657743031,10.200020683957579,12.191230169893586,16.41072282593842,10.000640852521787,24.830944392647194,11.40675900610584,10.173591536418998,10.156051406637676,10.220085371260593,10.149647647657552,13.209814962635205,24.830944392647194,10.001937663321943
AW kernel support pred4 [uv-pixels],445.4383725722758,11.960186819487234,11.960186819487234,11.581756682539593,16.10478793227145,16.10478793227145,20.19477090348624,445.4383725722758,14.694745357906237,229.13884376786183,10.804304195175124,10.804304320953463,10.431102145040262,10.483538426091858,12.459675834605166,27.03852874200482,229.13884376786183,10.377656711261931,112.35635059102489,10.771670427106082,10.771670591022263,10.337946530770052,11.266661547535053,11.157363323020716,21.9717997920484,112.35635059102489,10.09562668433384,36.957647494863814,13.519713139803207,10.545213042889579,10.463950304000058,10.64747966646651,10.443823332615512,16.396277963019596,36.957647494863814,10.01011707605419,21.599613679688336,13.39161479266984,10.523985609184829,10.44572955261665,10.622157046874843,10.426376337942122,14.319764784807754,21.599613679688336,10.00296838313913,34.9470048775347,12.846104771414316,10.370536334492511,10.333394672588682,10.468670541183538,10.319818018398697,16.157112195923034,34.9470048775347,10.008975453137037
AW kernel support pred5 [uv-pixels],,,,,,,,,,298.1147482796174,11.303479968145178,11.303480167777654,10.705689084793573,10.790369312109203,13.847646641532517,33.9348639378647,298.1147482796174,11.008273977263114,145.45088083182608,11.251644642729559,11.251644903293865,10.554658610578135,12.029847156499528,11.859426392812635,27.152157971348274,145.45088083182608,10.260766738533059,47.036049008222165,15.412683107402009,10.889670252916773,10.758763719641335,11.053637612338505,10.726254470482013,19.513156882171213,47.036049008222165,10.027762347024156,26.649558917264923,15.22554596020128,10.855528368644238,10.729334907352834,11.013115682405559,10.69804565441415,16.571135903187603,26.649558917264923,10.008148123472035,44.39165164795698,14.422742955763912,10.607582999893385,10.547259001015387,10.766382854230114,10.525177334563427,19.178131182034285,44.39165164795698,10.024631171861023
AW kernel support pred6 [uv-pixels],,,,,,,,,,425.80210794232977,12.444430849355717,12.444431207965438,11.351339245182341,11.508708864490158,16.77934173804142,46.812840807047834,425.80210794232977,13.516669699948297,206.3442156837779,12.351183164266272,12.351183633676172,11.068341831599808,13.725676833391717,13.428994479928912,36.95408562853954,206.3442156837779,10.980953701987623,65.65897730696503,19.29555658172499,11.692119289697976,11.450078995241517,11.992438506328966,11.389641616587696,25.623541266944017,65.65897730696503,10.107501135470821,36.21828175379036,18.998671995113053,11.629193122863672,11.395374163781906,11.918502833107626,11.337089715534297,21.11423658970675,36.21828175379036,10.031620143302284,61.86658230155549,17.7134112695231,11.16785907427571,11.054397099373523,11.46422428005517,11.012738240873853,25.11611735809672,61.86658230155549,10.095412244670142
AW kernel support pred7 [uv-pixels],,,,,,,,,,544.9939733241398,13.695953461945471,13.695953982501116,12.084553377961571,12.31992093359814,19.75197906972629,58.79397396229438,544.9939733241398,17.634628312333724,262.7960861803776,13.56043540230449,13.560436085318898,11.657937036010367,15.52938792887845,15.109104010194882,46.14051122389505,262.7960861803776,12.34461638758563,82.89524450630238,23.139355278630557,12.592676364662573,12.232380706658002,13.035927674656646,12.141957740325548,31.478239367187044,82.89524450630238,10.270888910006642,45.19352698201891,22.74263870249779,12.49927986890252,12.150542577816717,12.927172955518998,12.06317760518457,25.556299083719708,45.19352698201891,10.080083114554055,78.049826969966,21.01662057499969,11.808471121437368,11.636797529920498,12.253516964371768,11.573575979658472,30.815607829596924,78.049826969966,10.24062403233818
AW kernel support pred8 [uv-pixels],,,,,,,,,,630.6479475186711,14.673560486971965,14.673561127050206,12.672663368933152,12.967675519192465,24.5741172863167,67.34652219135556,630.6479475186711,21.59235362190306,303.1600723625007,14.506806038037235,14.506806879098926,12.135036324761378,16.909029790446844,16.399578632307264,52.71635485881494,303.1600723625007,13.812695205387783,95.17936607806455,25.960628804707895,13.30825070596073,12.858077237350967,13.85899346091912,12.744714586205605,35.70882925622845,95.17936607806455,10.464309491478819,51.62030852193496,25.493939930758923,13.191782377214247,12.755484228116435,13.724159820405756,12.645816619113157,28.796699931523424,51.62030852193496,10.138111283032472,89.58506033686311,23.4587229593989,12.325190312655101,12.10829196395675,12.884552723881754,12.028246300362671,34.93730361332238,89.58506033686311,10.412835488091822
AW kernel support pred9 [uv-pixels],,,,,,,,,,741.1662045209579,16.003765857250812,16.003766652318824,13.491098961964965,13.86552347438038,32.03336400022309,78.30115030918331,741.1662045209579,27.79729669166598,355.0179938230039,15.796471286879495,15.796472333241164,12.804351177748691,18.756066788357643,18.132630944923463,61.15062397931582,355.0179938230039,16.321786389219383,110.90518476482559,29.63278202890844,14.295869118242539,13.72660957573292,14.987886951188333,13.582694095341662,41.16354857320507,110.90518476482559,10.834205100243812,59.86479922880176,29.07772284474085,14.148920759962389,13.59637657386375,14.818882246785453,13.456944662823076,32.99837354986923,59.86479922880176,10.251061618874445,104.35228550512826,26.65203423339316,13.047937990088789,12.770027718997014,13.760186585309038,12.667200753016802,40.25406336378742,104.35228550512826,10.743056637673007
AW kernel support pred10 [uv-pixels],,,,,,,,,,848.3832158902655,17.347600571008165,17.34760151559967,14.335871436366158,14.788611106375958,40.482827094569444,88.84095148868444,848.3832158902655,34.88584629534387,405.1105978013124,17.10117006419518,17.10117130887844,13.500861520311263,21.89187886291317,21.89187886291317,69.27207975300156,405.1105978013124,19.383441908547756,126.03437318849498,33.20677758871897,15.307031332671738,14.620833377920551,16.136819139775895,14.44677827987474,46.43511333479517,126.03437318849498,11.346388836635683,67.804392777867,32.56773390877807,15.130229211910818,14.463336811327126,15.934575724551381,14.294489786021067,37.07593735028426,67.804392777867,10.411652731775426,118.55848698547582,29.771107283631178,13.79777002564775,13.458955527829204,14.661407344845438,13.333307002817197,45.39401221100331,118.55848698547582,11.202072867454147
AW kernel support pred11 [uv-pixels],,,,,,,,,,952.9675962074481,18.69393074373757,18.69393183255932,15.741795651736716,15.741795651736716,49.79512848974231,99.0413504201205,952.9675962074481,42.73378590342897,453.78814846148873,18.409734167483887,18.409735603628018,14.216133327466643,26.173736421200537,26.173736421200537,77.13490896729309,453.78814846148873,22.916530163105005,140.6795830258081,36.69077927917623,16.331077861887294,15.530705688730784,17.294715224006463,15.327123547637196,51.55006199045304,140.6795830258081,12.009636302110158,75.49161127198158,35.97120288448387,16.125182102345534,15.346501604583574,17.060235883753496,15.148797745264698,41.043134946210124,75.49161127198158,10.626548561225707,132.30906382112826,34.44950921634206,14.565749306875142,14.16671690668032,15.578128148956713,14.018439789970358,50.38231588950507,132.30906382112826,11.79917683858202
"W kernel support pred, ff [pixels]",(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
W kernel support bw0 [uv-pixels],51.84058969878098,0.750989102087591,0.750989033106033,0.6931074582033017,0.9302362521312484,0.9302361995655843,2.1719274927788135,51.84058969878098,0.16675796919282154,66.08516352964814,1.2200121028656143,1.220012201767399,0.8856080779034621,0.9390426870841339,2.2138218277144492,7.445664116027902,66.08516352964814,0.24736096700338506,32.70585475230759,1.1941141449801687,1.194114276281555,0.7824547877271004,1.5472278734095084,1.4753096973766195,5.806401010747779,32.70585475230759,0.12374838575339467,10.52146767644403,2.708448626252393,0.9985368383026144,0.9194153926253872,1.0907099664781588,0.8988395334394985,3.863277702069602,10.52146767644403,0.040206558978108056,5.682673970560674,2.65162608913005,0.9784309311278742,0.9008067824379329,1.0685496631262628,0.880646030412842,3.0499784784450696,5.682673970560674,0.02178140887010416,9.906668245235307,2.4012439125884035,0.8199177999247181,0.7770876920659593,0.9241799697836152,0.7608681972948442,3.7734909648110238,9.906668245235307,0.037870482843733844
